name,베타카로틴,비타민D,비타민E,비타민K,비타민B1,비타민B2,나이아신,비타민B6,엽산,비타민B12,비오틴,비타민C,칼슘,마그네슘,철,아연,구리,셀레늄(셀렌),요오드,망간,몰리브덴,칼륨,식이섬유,단백질,프로바이오틱스,진세노사이드,루테인,EPA와 DHA의 합,비타민A
갱년케어1000,0,10.0,11.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,700.0
건강더함 오메가3,0,12.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,600.0,840.0
건강백세효모,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,4.0,0.0,55.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
건강한 간 밀크씨슬,0,0.0,0.0,0.0,0.36,0.42,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
건강한 멀티비타민 미네랄,0,5.0,0.0,0.0,0.36,0.42,4.5,0.45,132.0,0.72,0.0,30.0,0.0,0.0,0.0,2.55,0.32,18.0,0,1.0,7.5,0,0.0,0,0,0.0,0.0,0.0,210.0
건강한 멀티비타민&미네랄,0,0.0,0.0,0.0,1.15,1.56,15.26,1.92,460.0,0.0,135.0,40.0,310.0,0.0,0.0,10.2,0.0,98.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
건강한 프로폴리스,0,10.0,11.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,700.0
건조한 눈엔 루테인오메가3,0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,20.0,600.0,840.0
겟잇뉴트리 올인원 마그네슘 비타민D,0,10.0,0.0,0.0,1.2,1.4,0.0,1.5,0.0,2.4,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
경남비타민씨플러스,0,0.0,0.0,0.0,0.0,0.0,3.93,0.46,0.0,0.0,20.52,1000.0,0.0,0.0,0.0,3.65,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
고려인삼농축액,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,25.0,0.0,0.0,0.0
고려인삼농축액골드,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,15.0,0.0,0.0,0.0
고려인삼분말,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,24.0,0.0,0.0,0.0
고려인삼분말캡슐,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,6.0,0.0,0.0,0.0
